idx,speed,env,labels
1,20,images/car1.jpg,low
2,20,images/car2.jpg,low
3,20,images/car3.jpg,low
4,20,images/car4.jpg,low
5,20,images/car5.jpg,low
6,20,images/car6.jpg,low
7,20,images/car7.jpg,low
8,20,images/car8.jpg,low
9,20,images/car9.jpg,low
10,20,images/car10.jpg,low
11,20,images/car11.jpg,low
12,20,images/car12.jpg,low
13,20,images/car13.jpg,low
14,20,images/car14.jpg,low
15,20,images/car15.jpg,low
16,20,images/car16.jpg,low
17,20,images/car17.jpg,low
18,20,images/car18.jpg,low
19,20,images/car19.jpg,low
20,20,images/car20.jpg,low
21,20,images/car21.jpg,low
22,20,images/car22.jpg,low
23,20,images/car23.jpg,low
24,20,images/car24.jpg,low
25,20,images/car25.jpg,low
26,20,images/car26.jpg,low
27,20,images/car27.jpg,low
28,20,images/car28.jpg,low
29,20,images/car29.jpg,low
30,20,images/car30.jpg,low
31,20,images/car31.jpg,low
32,20,images/car32.jpg,low
33,20,images/car33.jpg,low
34,20,images/car34.jpg,low
35,20,images/car35.jpg,low
36,20,images/car36.jpg,low
37,20,images/car37.jpg,low
38,20,images/car38.jpg,low
39,20,images/car39.jpg,low
40,20,images/car40.jpg,low
41,20,images/car41.jpg,low
42,20,images/car42.jpg,low
43,20,images/car43.jpg,low
44,20,images/car44.jpg,low
45,20,images/car45.jpg,low
46,20,images/car46.jpg,low
47,20,images/car47.jpg,low
48,20,images/car48.jpg,low
49,20,images/car49.jpg,low
50,20,images/car50.jpg,low
51,20,images/car51.jpg,low
52,20,images/car52.jpg,low
53,20,images/car53.jpg,low
54,20,images/car54.jpg,low
55,20,images/car55.jpg,low
56,20,images/car56.jpg,low
57,20,images/car57.jpg,low
58,20,images/car58.jpg,low
59,20,images/car59.jpg,low
60,20,images/car60.jpg,low
61,20,images/car61.jpg,low
62,20,images/car62.jpg,low
63,20,images/car63.jpg,low
64,20,images/car64.jpg,low
65,20,images/car65.jpg,low
66,20,images/car66.jpg,low
67,20,images/car67.jpg,low
68,20,images/car68.jpg,low
69,20,images/car69.jpg,low
70,20,images/car70.jpg,low
71,20,images/car71.jpg,low
72,20,images/car72.jpg,low
73,20,images/car73.jpg,low
74,20,images/car74.jpg,low
75,20,images/car75.jpg,low
76,20,images/car76.jpg,low
77,20,images/car77.jpg,low
78,20,images/car78.jpg,low
79,20,images/car79.jpg,low
80,20,images/car80.jpg,low
81,20,images/car81.jpg,low
82,20,images/car82.jpg,low
83,20,images/car83.jpg,low
84,20,images/car84.jpg,low
85,20,images/car85.jpg,low
86,20,images/car86.jpg,low
87,20,images/car87.jpg,low
88,20,images/car88.jpg,low
89,20,images/car89.jpg,low
90,20,images/car90.jpg,low
91,20,images/car91.jpg,low
92,20,images/car92.jpg,low
93,20,images/car93.jpg,low
94,20,images/car94.jpg,low
95,20,images/car95.jpg,low
96,20,images/car96.jpg,low
97,20,images/car97.jpg,low
98,20,images/car98.jpg,low
99,20,images/car99.jpg,low
100,20,images/car100.jpg,low
101,20,images/car101.jpg,low
102,20,images/car102.jpg,low
103,20,images/car103.jpg,low
104,20,images/car104.jpg,low
105,20,images/car105.jpg,low
106,20,images/car106.jpg,low
107,20,images/car107.jpg,low
108,20,images/car108.jpg,low
109,20,images/car109.jpg,low
110,20,images/car110.jpg,low
111,20,images/car111.jpg,low
112,20,images/car112.jpg,low
113,20,images/car113.jpg,low
114,20,images/car114.jpg,low
115,20,images/car115.jpg,low
116,20,images/car116.jpg,low
117,20,images/car117.jpg,low
118,20,images/car118.jpg,low
119,20,images/car119.jpg,low
120,20,images/car120.jpg,low
121,20,images/car121.jpg,low
122,20,images/car122.jpg,low
123,20,images/car123.jpg,low
124,20,images/car124.jpg,low
125,20,images/car125.jpg,low
126,20,images/car126.jpg,low
127,20,images/car127.jpg,low
128,20,images/car128.jpg,low
129,20,images/car129.jpg,low
130,20,images/car130.jpg,low
131,20,images/car131.jpg,low
132,20,images/car132.jpg,low
133,20,images/car133.jpg,low
134,20,images/car134.jpg,low
135,20,images/car135.jpg,low
136,20,images/car136.jpg,low
137,20,images/car137.jpg,low
138,20,images/car138.jpg,low
139,20,images/car139.jpg,low
140,20,images/car140.jpg,low
141,20,images/car141.jpg,low
142,20,images/car142.jpg,low
143,20,images/car143.jpg,low
144,20,images/car144.jpg,low
145,21,images/car145.jpg,low
146,20,images/car146.jpg,low
147,21,images/car147.jpg,low
148,19,images/car148.jpg,low
149,20,images/car149.jpg,low
150,21,images/car150.jpg,low
151,22,images/car151.jpg,low
152,21,images/car152.jpg,low
153,20,images/car153.jpg,low
154,21,images/car154.jpg,low
155,21,images/car155.jpg,low
156,21,images/car156.jpg,low
157,19,images/car157.jpg,low
158,21,images/car158.jpg,low
159,20,images/car159.jpg,low
160,22,images/car160.jpg,low
161,22,images/car161.jpg,low
162,22,images/car162.jpg,low
163,22,images/car163.jpg,low
164,21,images/car164.jpg,low
165,22,images/car165.jpg,low
166,22,images/car166.jpg,low
167,22,images/car167.jpg,low
168,21,images/car168.jpg,low
169,23,images/car169.jpg,low
170,23,images/car170.jpg,low
171,22,images/car171.jpg,low
172,20,images/car172.jpg,low
173,20,images/car173.jpg,low
174,40,images/car174.jpg,high
175,20,images/car175.jpg,low
176,21,images/car176.jpg,low
177,21,images/car177.jpg,low
178,21,images/car178.jpg,low
179,21,images/car179.jpg,low
180,20,images/car180.jpg,low
181,21,images/car181.jpg,low
182,20,images/car182.jpg,low
183,19,images/car183.jpg,low
184,21,images/car184.jpg,low
185,22,images/car185.jpg,low
186,22,images/car186.jpg,low
187,23,images/car187.jpg,low
188,21,images/car188.jpg,low
189,23,images/car189.jpg,low
190,23,images/car190.jpg,low
191,22,images/car191.jpg,low
192,23,images/car192.jpg,low
193,23,images/car193.jpg,low
194,22,images/car194.jpg,low
195,21,images/car195.jpg,low
196,23,images/car196.jpg,low
197,21,images/car197.jpg,low
198,22,images/car198.jpg,low
199,23,images/car199.jpg,low
200,22,images/car200.jpg,low
201,22,images/car201.jpg,low
202,20,images/car202.jpg,low
203,21,images/car203.jpg,low
204,22,images/car204.jpg,low
205,22,images/car205.jpg,low
206,22,images/car206.jpg,low
207,21,images/car207.jpg,low
208,22,images/car208.jpg,low
209,22,images/car209.jpg,low
210,22,images/car210.jpg,low
211,22,images/car211.jpg,low
212,22,images/car212.jpg,low
213,22,images/car213.jpg,low
214,22,images/car214.jpg,low
215,22,images/car215.jpg,low
216,22,images/car216.jpg,low
217,22,images/car217.jpg,low
218,22,images/car218.jpg,low
219,21,images/car219.jpg,low
220,22,images/car220.jpg,low
221,22,images/car221.jpg,low
222,22,images/car222.jpg,low
223,23,images/car223.jpg,low
224,22,images/car224.jpg,low
225,22,images/car225.jpg,low
226,23,images/car226.jpg,low
227,22,images/car227.jpg,low
228,22,images/car228.jpg,low
229,22,images/car229.jpg,low
230,22,images/car230.jpg,low
231,22,images/car231.jpg,low
232,22,images/car232.jpg,low
233,22,images/car233.jpg,low
234,22,images/car234.jpg,low
235,22,images/car235.jpg,low
236,22,images/car236.jpg,low
237,22,images/car237.jpg,low
238,22,images/car238.jpg,low
239,21,images/car239.jpg,low
240,21,images/car240.jpg,low
241,21,images/car241.jpg,low
242,21,images/car242.jpg,low
243,22,images/car243.jpg,low
244,21,images/car244.jpg,low
245,22,images/car245.jpg,low
246,21,images/car246.jpg,low
247,21,images/car247.jpg,low
248,21,images/car248.jpg,low
249,21,images/car249.jpg,low
250,21,images/car250.jpg,low
251,21,images/car251.jpg,low
252,21,images/car252.jpg,low
253,21,images/car253.jpg,low
254,21,images/car254.jpg,low
255,21,images/car255.jpg,low
256,22,images/car256.jpg,low
257,22,images/car257.jpg,low
258,22,images/car258.jpg,low
259,21,images/car259.jpg,low
260,22,images/car260.jpg,low
261,22,images/car261.jpg,low
262,21,images/car262.jpg,low
263,21,images/car263.jpg,low
264,22,images/car264.jpg,low
265,21,images/car265.jpg,low
266,21,images/car266.jpg,low
267,21,images/car267.jpg,low
268,21,images/car268.jpg,low
269,21,images/car269.jpg,low
270,21,images/car270.jpg,low
271,21,images/car271.jpg,low
272,21,images/car272.jpg,low
273,20,images/car273.jpg,low
274,20,images/car274.jpg,low
275,20,images/car275.jpg,low
276,20,images/car276.jpg,low
277,20,images/car277.jpg,low
278,20,images/car278.jpg,low
279,19,images/car279.jpg,low
280,19,images/car280.jpg,low
281,19,images/car281.jpg,low
282,19,images/car282.jpg,low
283,19,images/car283.jpg,low
284,19,images/car284.jpg,low
285,19,images/car285.jpg,low
286,18,images/car286.jpg,low
287,18,images/car287.jpg,low
288,18,images/car288.jpg,low
289,18,images/car289.jpg,low
290,16,images/car290.jpg,low
291,17,images/car291.jpg,low
292,17,images/car292.jpg,low
293,17,images/car293.jpg,low
294,15,images/car294.jpg,very low
295,17,images/car295.jpg,low
296,16,images/car296.jpg,low
297,17,images/car297.jpg,low
298,16,images/car298.jpg,low
299,16,images/car299.jpg,low
300,15,images/car300.jpg,very low
301,15,images/car301.jpg,very low
302,15,images/car302.jpg,very low
303,15,images/car303.jpg,very low
304,15,images/car304.jpg,very low
305,14,images/car305.jpg,very low
306,15,images/car306.jpg,very low
307,14,images/car307.jpg,very low
308,14,images/car308.jpg,very low
309,14,images/car309.jpg,very low
310,14,images/car310.jpg,very low
311,14,images/car311.jpg,very low
312,14,images/car312.jpg,very low
313,14,images/car313.jpg,very low
314,14,images/car314.jpg,very low
315,14,images/car315.jpg,very low
316,14,images/car316.jpg,very low
317,14,images/car317.jpg,very low
318,14,images/car318.jpg,very low
319,14,images/car319.jpg,very low
320,14,images/car320.jpg,very low
321,14,images/car321.jpg,very low
322,14,images/car322.jpg,very low
323,14,images/car323.jpg,very low
324,15,images/car324.jpg,very low
325,14,images/car325.jpg,very low
326,15,images/car326.jpg,very low
327,15,images/car327.jpg,very low
328,15,images/car328.jpg,very low
329,16,images/car329.jpg,low
330,16,images/car330.jpg,low
331,16,images/car331.jpg,low
332,16,images/car332.jpg,low
333,16,images/car333.jpg,low
334,17,images/car334.jpg,low
335,17,images/car335.jpg,low
336,16,images/car336.jpg,low
337,17,images/car337.jpg,low
338,18,images/car338.jpg,low
339,18,images/car339.jpg,low
340,18,images/car340.jpg,low
341,18,images/car341.jpg,low
342,18,images/car342.jpg,low
343,19,images/car343.jpg,low
344,19,images/car344.jpg,low
345,20,images/car345.jpg,low
346,20,images/car346.jpg,low
347,20,images/car347.jpg,low
348,20,images/car348.jpg,low
349,21,images/car349.jpg,low
350,21,images/car350.jpg,low
351,21,images/car351.jpg,low
352,21,images/car352.jpg,low
353,22,images/car353.jpg,low
354,22,images/car354.jpg,low
355,22,images/car355.jpg,low
356,22,images/car356.jpg,low
357,23,images/car357.jpg,low
358,23,images/car358.jpg,low
359,23,images/car359.jpg,low
360,23,images/car360.jpg,low
361,24,images/car361.jpg,low
362,24,images/car362.jpg,low
363,24,images/car363.jpg,low
364,24,images/car364.jpg,low
365,25,images/car365.jpg,low
366,25,images/car366.jpg,low
367,25,images/car367.jpg,low
368,25,images/car368.jpg,low
369,26,images/car369.jpg,medium
370,26,images/car370.jpg,medium
371,26,images/car371.jpg,medium
372,26,images/car372.jpg,medium
373,24,images/car373.jpg,low
374,27,images/car374.jpg,medium
375,27,images/car375.jpg,medium
376,27,images/car376.jpg,medium
377,27,images/car377.jpg,medium
378,27,images/car378.jpg,medium
379,24,images/car379.jpg,low
380,28,images/car380.jpg,medium
381,28,images/car381.jpg,medium
382,29,images/car382.jpg,medium
383,29,images/car383.jpg,medium
384,27,images/car384.jpg,medium
385,29,images/car385.jpg,medium
386,29,images/car386.jpg,medium
387,29,images/car387.jpg,medium
388,30,images/car388.jpg,medium
389,28,images/car389.jpg,medium
390,29,images/car390.jpg,medium
391,30,images/car391.jpg,medium
392,29,images/car392.jpg,medium
393,29,images/car393.jpg,medium
394,29,images/car394.jpg,medium
